Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Biovar	Race	Phylotype	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Predicted Species	Contig Number	No. N's	Barcode
RAL_AA0010AA	GBBC3080	SRR29369383;ILLUMINA;Paired;;SRX24883821;SRA	Environment	Plant	ENVO_03600087; Rosa sp.	2015				Europe	Belgium	Flanders	Flemish Brabant Province	Arrondissement Halle-Vilvoorde		51	4.29	Institute for Agricultural, Fisheries and Food Research (ILVO)						PRJNA1122974	SRP513359	SAMN41796063	SRS21592495	2024-11-08	2024-06-14	RAL_AA0010AA	Assembled	306.8	5.2	90829	5702331	Ralstonia solanacearum;100.0%	194	939	RAL_AA0042AA_AS
RAL_AA0011AA	PD 8565	SRR28370915;ILLUMINA;Paired;;SRX23975998;SRA	Environment	Plant	Rosa sp.	2018				Europe	Netherlands							NIVIP						PRJNA1089092	SRP496025	SAMN40518025	SRS20774341	2024-11-08	2024-03-18	RAL_AA0011AA	Assembled	827.3	5.2	107838	5618031	Ralstonia solanacearum;99.82%	192	1239	RAL_AA0043AA_AS
RAL_AA0012AA	MAFF 301069	DRR513089;ILLUMINA;Paired;;DRX496975;SRA,DRR513095;OXFORD_NANOPORE;Single;;DRX496981;SRA																KOCHI						PRJDB17010	DRP010779	SAMD00657126	DRS341346	2024-11-08	2023-11-14	RAL_AA0012AA	Assembled	41.2	5.2	140459	5640058	Ralstonia solanacearum;100.0%	176	1984	RAL_AA0006AA_AS
RAL_AA0013AA	MAFF 301524	DRR513094;OXFORD_NANOPORE;Single;;DRX496980;SRA,DRR513088;ILLUMINA;Paired;;DRX496974;SRA																KOCHI						PRJDB17010	DRP010779	SAMD00657125	DRS341345	2024-11-08	2023-11-14	RAL_AA0013AA	Assembled	64	5.2	77752	5735608	Ralstonia solanacearum;100.0%	346	2376	RAL_AA0007AA_AS
RAL_AA0014AA	MAFF 211521	DRR513087;ILLUMINA;Paired;;DRX496973;SRA,DRR513093;OXFORD_NANOPORE;Single;;DRX496979;SRA																KOCHI						PRJDB17010	DRP010779	SAMD00657124	DRS341344	2024-11-08	2023-11-14	RAL_AA0014AA	Assembled	199.3	5.2	78487	5780186	Ralstonia solanacearum;100.0%	347	2306	RAL_AA0008AA_AS
RAL_AA0015AA	MAFF 211520	DRR513092;OXFORD_NANOPORE;Single;;DRX496978;SRA,DRR513086;ILLUMINA;Paired;;DRX496972;SRA																KOCHI						PRJDB17010	DRP010779	SAMD00657123	DRS341343	2024-11-08	2023-11-14	RAL_AA0015AA	Assembled	122.7	5.2	79496	5779864	Ralstonia solanacearum;100.0%	333	2272	RAL_AA0009AA_AS
RAL_AA0016AA	MAFF 211519	DRR513085;ILLUMINA;Paired;;DRX496971;SRA,DRR513091;OXFORD_NANOPORE;Single;;DRX496977;SRA																KOCHI						PRJDB17010	DRP010779	SAMD00657122	DRS341342	2024-11-08	2023-11-14	RAL_AA0016AA	Assembled	173.1	5.2	113991	5652900	Ralstonia solanacearum;100.0%	216	1841	RAL_AA0010AA_AS
RAL_AA0017AA	GMI1000	SRR25890106;ILLUMINA;Paired;;SRX21610486;SRA	Laboratory	Laboratory	tomato; laboratory	2023	6	30		Asia	China							Guangxi University						PRJNA1012353	SRP458180	SAMN37256216	SRS18783714	2024-11-08	2023-09-03	RAL_AA0017AA	Assembled	406.8	5.2	129447	5661624	Ralstonia solanacearum;98.84%	154	1113	RAL_AA0011AA_AS
RAL_AA0018AA	GMI1000	SRR25890107;ILLUMINA;Paired;;SRX21610485;SRA	Laboratory	Laboratory	tomato; laboratory	2023	6	30		Asia	China							Guangxi University						PRJNA1012353	SRP458180	SAMN37256215	SRS18783713	2024-11-08	2023-09-03	RAL_AA0018AA	Assembled	406	5.2	124898	5660916	Ralstonia solanacearum;98.83%	153	1048	RAL_AA0012AA_AS
RAL_AA0019AA	GMI1000	SRR25890108;ILLUMINA;Paired;;SRX21610484;SRA	Laboratory	Laboratory	tomato; laboratory	2023	6	30		Asia	China							Guangxi University						PRJNA1012353	SRP458180	SAMN37256214	SRS18783712	2024-11-08	2023-09-03	RAL_AA0019AA	Assembled	403.8	5.2	108830	5462078	Ralstonia solanacearum;99.07%	148	1234	RAL_AA0013AA_AS
